News,InfSec,FAKE?,Link
"['Новость: специалисты по информационной безопасности заявили, что в сети появились новые уязвимости. Они были обнаружены на серверах компании «Яндекс». Уязвимость позволяла получить доступ к информации пользователя без его ведома и даже перехватывать пароли от почты или аккаунтов социальных сетей...\nИсточникrss2lj \n \xa0В интернете появилась новая угроза для владельцев смартфонов - хакеры могут украсть конфиденциальные данные с устройств пользователей....http://www/novostyskino/?p=5396#more-58969&#160; &#1045;&#1089;-ржунимагу!:) В общем не знаю кто это сделал(возможно сам Яша) но вот так он решил ""подшутить"" над владельцами телефонов :) И как вы понимаете шутка получилась очень злая.. А может быть у кого то уже есть такой девайс? Вот бы посмотреть!:))) Источник : http//vkontakte / vksaver_plus. ru ( ссылка ) \\t\\tdocument class=""banner wrap fancybox text bg background image mask border px 1 height 100% 0 width 50 percent 520px""></span>']",1,1,https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили, что в России появился новый вирус. Его назвали «Краб». По словам экспертов из компании Symantec и антивирусного производителя Avast Software, он способен заражать мобильные устройства с помощью Bluetooth-соединения или беспроводных сетей WiFi. Вредоносное ПО способно шифровать данные на телефоне жертвы при помощи протокола WEP (Wired Equivalent Privacy - аналоговая защита данных). Кроме этого вредоносный код может загружаться как приложение к приложению Android через встроенные возможности системы Google Play Marketplace («магазин приложений»). Специалисты предупреждают о том... → Вирус распространяется посредством мобильного интернет трафика во всех странах мира от Китая до США; также его можно найти среди загружаемых программ для смартфонов BlackBerry 10/11 / Windows Mobile 6 and 7 устройств Apple iPhone 5S 4G LTE 3D Touch iPad Air 2 16GB iTunes Store Application for MacOS X Safari Web Browser Chrome Internet Explorer Firefox Opera Microsoft Edge Браузер Kingsoft Office SharePoint 2013 Word Online Excel Powerpoint PDF OneNote Outlook Calendar Access Creative Commons ZIP File Transfer ProShow Video Downloads Flash Player 8 Bitmap Viewer Photo Manager Dropbox YouTube Gmail Mail Агент ВКонтакте Одноклассники Twitter Facebook VKontakt Skype Yahoo! Почта GMail Яндекс Диск 1С Медицина Онлайн Сбербанк Онл@йн Другие новости читайте здесь']",1,1,https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили о том, что их детище — система «Эшелон» для защиты государственных и коммерческих тайн России от утечки информации с мобильных устройств может стать угрозой национальной экономике.\nПо словам экспертов из компании Group-IB («Лаборатория Касперского»), новая технология позволяет перехватывать информацию на уровне передачи данных между устройствами в сети WiFi (например через мобильные гаджеты). В частности речь идет об отправке СМС сообщений или передаче текстовой почты посредством мобильного телефона… \u2028При этом эксперты отмечают тот факт,что при создании системы использовались технологии шифрования S/MIME 3 версии 2. А это означает то... \u200bто данные будут защищены только тогда когда они передаются напрямую без использования каких либо средств криптографии... То есть даже если кто нибудь взломает телефон вашего друга - вы не будете иметь доступа к его переписке! Это же просто прекрасно!!! \n И вот теперь возникает другой вопрос : почему эта компания вообще занимается подобными вещами? Неужели она думает кого ни будь напугать такими методами?']",1,1,https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили о том, что в интернете появился новый вид мошенничества.\nСуть его сводится к тому чтобы под предлогом проверки на вирусы загрузить и установить вредоносные программы с вашего компьютера или ноутбука (смартфону). После этого они начинают активно ""разрушать"" ваш компьютер/ноутбук вплоть до полной потери данных - фотографий рабочего стола, паролей. И это только вершина айзберга! А дальше все как всегда : восстановление системы не помогает; антивирус блокирует попытки восстановления удаленной информации ; переустановка ОС тоже ничего хорошего вам НЕ принесёт.... Так вот для того чтоб такого больше никогда небыло нужно просто быть внимательными! Не доверять незнакомым сайтам!!! Если есть возможность проверьте свой ПК( ноут) сканерм вирусов который должен находится у вас дома!!! В этом деле очень хорошо поможет бесплатная утилита Dr Web CureIt!. Она сканирование всего подряд начиная от браузера заканчивая жестким диском... Но самое главное помните вы отвечаете за свои данные так же сильно боитесь потерять важные фото документы? Значит будьте бдительны при работе со всеми устройствами подключенными через USB!! \n \ufeff']",1,1,https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили, что в последнее время участились случаи взлома аккаунтов пользователей Facebook. В частности злоумышленники могут получить полный доступ к личной переписке пользователя и даже его фотографиям без ведома последнего."" \n\nИ тут меня осенило! Я ведь тоже не пользуюсь Фейсбуком уже несколько месяцев... Но это же просто совпадение!!! А вот если бы я им пользовался??? И как тогда быть?! Ведь они наверняка знают мой пароль от ЖЖ (хотя он у них точно такойже)... Или всё таки нет? Как проверить то...? Может кто-то знает проверенные способы или хотябы слышал о таковых?.. Ну а вдруг вы знаете?... Помогите пожалуйста разобраться.... Заранее спасибо :)...Posted via LiveJournal app for iPad. Posted by Роман Кулаков on 2 июн 2019., 10 :54 PST""Как сообщает The Verge со ссылкой на заявление исследователей компании Symantec из США - ""в последние недели мы получили множество сообщений с просьбой помочь восстановить потерянные пароли для социальных сетей"", говорится там.. По словам специалистов этой фирмы, хакеры используют уязвимость протокола передачи данных HTTP 1 июля 2014 года была обнаружена брешь которая позволяла взламывать учетки через этот протокол"".А ещё говорят про какие нибудь вирусы которые заражают компы когда заходиш туда куда нельзя заходить :(']",1,1,https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили, что в интернете появились фальшивые аккаунты президента Украины Петра Порошенко.\nА вот и сам поддельный аккаунт (с) http://www2-newsru/ukraine/. В нем размещено сообщение о ""переговорах"" между представителями ДНР с участием Путина - это как минимум! И все бы ничего если не знать об одном очень важном моменте этого сообщения : )))))))))) \n Это же просто праздник какой то!!! ))))))) Я так полагаю на этом сайте можно найти много интересного! ))) Например например, про переговоры представителей России(!!!), Донецка или Луганска... С Путиным!! )) Ну прям таки настоящий президент всея Руси!! ) А может даже Путин уже договорился со всеми сторонами конфликта??? Тогда я вообще счастливейший человек!!!!!!!!!))))) Так держать товарищи из СБУ!!!!!!!!)))) Вот теперь у нас есть реальный шанс узнать правду...... Но самое главное мы узнаем кто такой этот самый Петр Алексеевич Порошенкый? Кто он?? Какова его реальная биография..... Может ли эта информация помочь нам раскрыть тайну того почему Киевская хунта воюет против своих граждан? Что происходит за кулисами событий происходящих сейчас вокруг Новороссии.']",1,1,https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили, что хакерская атака на сайт Белого дома в прошлом году была организована с целью кражи данных. В результате взлома было украдено около миллиона электронных писем и документов"", — пишет The Washington Post со ссылкой источник из Пентагона (перевод РИА Новости). \n ""Это не первая крупная утечка за последнее время... Ранее были похищены данные о том, сколько человек работает или учится во флоте США"". Как отмечает газета также отмечается рост числа случаев несанкционированного использования персональных компьютеров для слежки американскими военными объектами.""В последние дни участились случаи атак американских военных баз беспилотными летательными аппаратами типа UAV-NG."" По мнению издания это связано как раз тем фактом,""что военные базы имеют большое количество уязвимостей к проникновению извне "", а потому они должны уделять особое внимание вопросам защиты своих систем от подобных нападений""... Источник сообщает об увеличении количества таких инцидентов до 40% всего времени службы военнослужащих американской армии...""По данным газеты New York Times число киберпреступлений возросло втрое после тогокак президент Барак Обама подписал закон который обязывает все компании которые работаютв области IT предоставлять информацию правоохранительным органам..']",1,1,https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили об обнаружении новой вредоносной программы, использующей методы социальной инженерии.\nИнициатор атаки на сайт банка ВТБ оказался хакером-неудачником и теперь ему придется провести в тюрьме несколько лет (по крайней мере до того момента когда он сможет доказать свое участие). Вредоносная программа использует уязвимости системы Windows для кражи данных банковских карт жертв злоумышленников.""Это был один из самых больших сюрпризов этого года"", говорит эксперт ""Лаборатории Касперского"" Сергей Земков о новом троянце под названием KidoBackdoor (""Малышок""), который получил широкое распространение среди банковских мошеннических схем с целью получения конфиденциальных платежных реквизитов пользователей систем интернет банкинга Visa/MasterCard или электронных платежей через банкоматы сторонних компаний. По данным компании Symantec, за первые три месяца 2015 г., количество атак подобного характера составило около 3 тыс..По мнению экспертов киберпреступности такие действия со стороны банковского сектора могут быть связаны как минимум двумя факторами - это недостаточный уровень контроля над безопасностью банковской сферы России так же отсутствие необходимых мер предосторожностей у владельцев пластиковых карточек при работе онлайн банками"".В связи этим возникает вопрос : почему банки не предпринимают никаких шагов к защите от подобных угроз?']",1,1,https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили, что в России существует серьезная угроза для национальной инфраструктуры. В частности они отметили опасность утечек данных через интернет и мобильных операторов (см.).\nИ это только начало... ))))) А если серьезно - все эти разговоры об угрозе хакеров-вредителей из США не более чем блеф чистой воды! ))) \n И вот почему.... Дело ведь совсем даже НЕ ТОЛЬКО во ""врагах"". Все гораздо сложнее... )) Во первых, на Западе есть люди способные сделать то же самое с нашей системой управления государством изнутри. Они уже делают так много раз за последние годы!!! Вспомните как у них получилось развалить СССР! Как им удалось разрушить Югославию или Ливия? Да просто взяли да сделали свое дело чужими руками!!! Не верите? Посмотрите сколько там сейчас людей работают против интересов своих стран!! Так может быть нам надо тоже делать свою работу??? Но нет мы боимся всего подряд!!!! Боремся непонятно ради чего со всеми вокруг себя!!!!! С теми кто хочет жить лучше нас самих а сами ничего хорошего создать ни себе НИ людям дать неспособны!! Вот поэтому наши правители такие слабые..и беспомощные перед лицом реальной опасности....А Запад тем временем спокойно продолжает свои действия направленные НА УНИЧТОЖЕНИЕ РОССИЙСКОЙ СИСТЕМЫ ГОСУДАРСТВЕННОГО МЕНЕДЖМЕНТА..))']",1,1,https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили, что в интернете появилось множество сайтов для сбора данных пользователей. В основном их целью является сбор информации о кредитных картах и другой платежной деятельности пользователя (например при покупке товара), а также информация с банковских счетов клиентов банков-конкурентов или просто мошенников\nИсточник новости здесь \n _________________________________________А вот еще то,что касается ВСЕХ,- ""Что есть-""ДОМ""ТОЛЬКО КРОМЕ ШКАФА...""https://www.""ХОЧУ ПОЛУЧИТЬ ДОСТВЕРЕНИЕ НА ЖИЛЬЁ""-вопрос дня:"" https… Чтение этой статьи рекомендуется проводить вполголоса под одеялом... Posted by Олег Маркин on 24 дек 2015 г.. http…» Всмотритесь повнимательнее! Вот оно – настоящее лицо нашего государства!!! Это не какой–то там чиновник из Минюста со своими «гениальными» инициативами; это сам президент России Владимир Владимирович Путин решил сделать нас всех рабами своих слуг - депутатов Государственной Думы РФ от партии власти!! А как иначе назвать людей которые голосуют за законы позволяющие чиновникам воровать миллионы у народа? Как можно голосовать ЗА ТАКИЕ ПРОГРАМММЫ????? И самое главное почему я должен верить депутатам ГД?! Ведь они сами прекрасно понимают к каким результатам приведет принятие этих законов!!!!! Но ведь им все равно надо проголосвать именно так чтобы остаться на своем посту до конца срока полномочий!!!!']",1,1,https://fake_news.ru
