News,InfSec,FAKE?,Link
"Чаще всего целями кибератак становятся госучреждения, промышленность, ИТ и телекоммуникационный сектор, следует из результатов анализа, проведенного «Лабораторией Касперского».

Отчет основан на данных, полученных от клиентов сервиса Kaspersky Managed Detection and Response (MDR). В 2021 году по сравнению с предыдущим годом доля инцидентов высокой степени критичности — атак с участием человека или заражений, оказывающих значительное влияние на бизнес, — выросла с 9 до 14%.

Критичные инциденты фиксируются во всех отраслях, в 2021 году их доля была наиболее высокой в телекоммуникационных, промышленных, ИТ-компаниях и госучреждениях. Чаще всего они были связаны с целевыми атаками — почти в 41% случаев, ещё в 14% случаев — с вредоносными программами, в 13% — с эксплуатацией критичных уязвимостей, в 5,5% — с социальной инженерией.

Целевым атакам в 2021 году подвергались самые разные отрасли, больше всего их фиксировалось в государственных, промышленных, финансовых и ИТ-организациях. В телекоммуникационной же отрасли каждый критичный инцидент оказался связан с целевыми атаками.",0,0,https://securitymedia.org/news/lk-nazvala-sfery-kotorye-chashche-ostalnykh-podvergayutsya-kiberatakam.html
"26 мая состоялось очередное заседание Общественного совета при Роскомнадзоре. Основными вопросы заседания касались законодательного регулирования деятельности блогеров с аудиторией более 100 тысяч подписчиков.

Во вступительном слове руководитель Роскомнадзора Андрей Липов кратко проинформировал членов Общественного совета о текущей работе ведомства. В частности, об информационных атаках на российских пользователей, начавшихся с первых же часов начала специальной военной операции. В социальных сетях, на сайтах, в рекламных и баннерных сетях контент и объемы показов украинской националистической пропаганды были запредельными, тексты, видео, картинки были заранее созданы и проплачены Западом на миллиарды рублей.

«С конца февраля нами было выявлено и удалено свыше 117 тыс. фейков о сути конфликта, действиях и потерях вооруженных сил, 38 тыс. призывов к протестам, заблокировано 1177 ресурсов с украинской националистической пропагандой с суммарной аудиторией свыше 202 млн пользователей», - заявил Липов.

Также руководитель ведомства отметил, что Роскомнадзор принял участие в разработке законопроекта, предусматривающего усиление наказания за нарушения закона о персональных данных. Документ предусматривает ужесточение ответственности вплоть до уголовной для лиц, занимающихся продажей украденных персональных данных.

Председатель Комиссии по защите детей от деструктивного и опасного контента в составе Общественного совета при Роскомнадзоре Андрей Цыганов высказал ряд предложений по продвижению ценностно-ориентированного контента в интернет-сообществах.",0,0,https://securitymedia.org/news/rkn-predlozhil-uzhestochit-nakazanie-za-nezakonnoe-ispolzovanie-personalnykh-dannykh.html
"Вышедшее на этой неделе превью опциональных накопительных обновлений для Windows вызвали проблемы с совместимостью у некоторых решений безопасности Trend Micro, в результате чего решения лишились некоторых функций, в том числе функции защиты от вымогательского ПО.

«Использующийся несколькими продуктами Trend Micro для защиты конечных точек и серверов компонент UMH отвечает за некоторые расширенные функции, такие как защита от вымогательского ПО. Trend Micro известно о потенциальной проблеме, когда пользователи, применившие опциональные патчи для Microsoft Windows 11 или опциональные превью-патчи для Windows 2022 (KB5014019), после перезагрузки системы сталкиваются с тем, что драйвер Trend Micro UMH перестает работать», - сообщил производитель решений безопасности.

Проблема затрагивает компонент User Mode Hooking (UMH), использующийся несколькими решениями безопасности Trend Micro, включая Apex One 2019, Worry-Free Business Security Advanced 10.0, Apex One as a Service 2019, Deep Security 20.0, Deep Security 12.0 и Worry-Free Business Security Services 6.7.

В настоящее время Trend Micro работает над исправлением проблемы, чтобы успеть до того, как превью-обновления будут разосланы всем пользователям Windows в рамках июньского «вторника исправления».

К счастью, в отличие от обязательных ежемесячных обновлений, выпущенные на это неделе превью-патчи являются опциональными и предназначены для тестирования исправлений ошибок и улучшения производительности перед основным релизом.

Проблема с совместимостью решений безопасности Trend Micro затрагивает клиентские и серверные версии Windows 11, Windows 10 (1809) и Windows Server 2022. Пользователи могут либо временно деинсталлировать патчи, либо обратиться в поддержку и получить модуль отладки UMH, с помощью которого можно вернуть решениям безопасности их функции.",0,0,https://securitymedia.org/news/obnovlenie-dlya-windows-11-otklyuchaet-zashchitu-trend-micro-ot-vymogatelskogo-po.html
"Human Rights Watch (HRW) изучила более 150 продуктов для онлайн-обучения в 49 странах и обнаружила, что 89% приложений собирают данные без согласия обучающихся или их родителей. Более того, HRW выяснила, что 146 из 164 приложений и продуктов отправляли данные юных пользователей 199 сторонним организациям, которые затем бомбардировали детей целевой рекламой.

В исследовании экспертов были отдельные пункты про Google и Meta. Техногиганты использовали специальные трекеры для сбора данных обучающихся.

“Дети были вынуждены платить за обучение своими правами на частную жизнь"", – говорится в докладе HRW под названием «Как они смеют залезать в мою личную жизнь?».

Специалисты из Human Rights Watch отметили, что приложения для онлайн-конференций (Zoom, Microsoft Teams и Cisco Webex) тоже могли собирать данные детей.",1,0,https://securitymedia.org/news/sotni-prilozheniy-dlya-onlayn-obucheniya-ugrozhayut-chastnoy-zhizni-detey.html
"Торговая площадка баз данных Industrial Spy запустила собственную вымогательскую кампанию, которая шифрует украденную информацию жертв.

Торговая платформа Industrial Spy продает украденные у компаний различные типы данных, от «премиальных» данных за миллионы долларов до отдельных файлов всего за 2 доллара. Пользователь может купить схемы, чертежи, технологии, политические и военные секреты, бухгалтерские отчеты и клиентские базы данных конкурентов.

На прошлой неделе исследователь безопасности MalwareHunterTeam обнаружил новый образец вредоносного ПО Industrial Spy, который содержит в себе записку с требованием выкупа.

«К сожалению, мы вынуждены сообщить вам, что ваша компания была скомпрометирована. Все ваши файлы были зашифрованы, и вы не можете восстановить их без нашего закрытого ключа. Попытка восстановить его без нашей помощи может привести к полной потере ваших данных.

Также мы исследовали всю вашу корпоративную сеть и загрузили все конфиденциальные данные на наши серверы. Если мы не получим от вас ответа в течение 3 дней, мы опубликуем ваши данные на сайте «Industrial Spy Market», - указано в письме.

По словам эксперта по кибербезопасности Майкла Гиллеспи, Industrial Spy использовала шифрование DES с ключом, который зашифрован с помощью алгоритма RSA1024.

При шифровании файлов Industrial Spy создает письмо с требованием выкупа под названием «README.htm» в каждой папке на устройстве. Помимо адреса электронной почты, записка также содержит идентификатор TOX для связи со злоумышленниками.



Ранее сообщалось, что популярная торговая площадка даркнета Versus Market закрылась после обнаружения эксплойта, который мог открыть доступ к базе данных и раскрыть IP-адреса серверов. Обнаружив уязвимость, операторы решили сами отключить работу Versus, чтобы избежать обнаружения.",1,0,https://securitymedia.org/news/torgovaya-ploshchadka-darkneta-zapustila-svoyu-vredonosnuyu-kampaniyu.html
"Новый веб-сайт, на котором были опубликованы просочившиеся электронные письма от главных сторонников выхода Великобритании из Европейского Союза, связан с российскими хакерами, заявил сотрудник Google по кибербезопасности и бывший глава внешней разведки Великобритании. Об этом сообщает Reuters.

Речь идет о сайте под названием Very English Coop d’Etat, на котором можно найти личную переписку британского экс-шпиона Ричарда Дирлова, политика Гизелы Стюарт, историка Роберта Тумбса и других сторонников выхода Великобритании из ЕС, который был завершен в январе 2020 года.

Агентство Reuters отмечает, что две жертвы утечки уже подтвердили, что стали жертвами хакеров, и обвинили в этом российское правительство.

«Мне хорошо известно о российской операции против моей учетной записи Proton», — сказал Дирлов, имея в виду почтовый сервис ProtonMail, ориентированный на конфиденциальность.

Дирлов, экс-глава британскую службу внешней разведки МИ-6, заявил, что к просочившимся материалам следует относиться с осторожностью, учитывая «контекст нынешнего кризиса в отношениях с Россией».

Шейн Хантли, возглавляющий в Goggle группу анализа и программного обеспечения, сообщил, что сайт якобы связан с хакерской группой Cold River из России. При этом американская технологическая компания не представила никаких доказательств, а лишь заявила, что её специалисты «отследили это с помощью технических индикаторов».",1,0,https://securitymedia.org/news/google-russkie-khakery-prichastny-k-utechke-pisem-glavnykh-storonnikov-brexit.html
"Председатель временной комиссии Совфеда по информационной политике Алексей Пушков на круглом столе в СФ заявил, что Россию могут отключить от глобального интернета. Об этом сообщают РИА Новости.

«Мы, конечно, должны быть готовы к ухудшению ситуации на самом деле, потому что отключение от глобального интернета — оно в общем возможно. Да, оно возможно, я не стал бы исключать такого сценария», — сказал сенатор.

Пушков пояснил, что Россия может и выиграть от подобного развития событий, поскольку оно позволит ей стать более независимой в информационном плане.",1,0,https://securitymedia.org/news/sovfed-rossiyu-mogut-otklyuchit-ot-globalnogo-interneta.html
"Компания Broadcom, занимающаяся разработкой полупроводниковой продукции, становится владельцем VMware, разработчика ПО для виртуализации. Сумма сделки составила $61 млрд.

Это рекордное по стоимости приобретение Broadcom за всю историю компании. В целом в ИТ-сфере это одна из крупных сделок за все годы. Она стоит на третьем месте после сделки Dell с EMC на $67 млрд и предстоящего приобретения корпорацией Microsoft гиганта рынка видеоигр Activision Blizzard за $68,7 млрд, пишет CNews Broadcom известна в первую очередь благодаря своим модемам, а также модулям Wi-Fi и Bluetooth, использующихся в различных современных устройствах, в том числе в компьютерах и портативной электронике. VMware, в свою очередь, является одним из ключевых игроков на рынке решений для виртуализации. Как пишет The Verge, покупая VMware, компания намерена хорошо закрепиться в сегменте программного обеспечения.После закрытия сделки софтверное подразделение Broadcom Software Group будет переименовано в VMware.Broadcom также известна своими крупными приобретениями компаний из сферы ПО. К примеру, в 2018 г. она заплатила $18,9 млрд за компанию CA Technologies, занимавшуюся разработкой программного обеспечения для мейнфреймов и систем распределенных вычислений, а также потребительского защитного ПО. В августе 2019 г. Broadcom договорилась с Symantec о покупке ее подразделения Enterprise Security по разработке ПО для информационной безопасности корпоративного уровня. Broadcom заплатила за него $10,7 млрд, хотя изначально она планировала купить всю Symantec за $15 млрд. В начале 2020 г. она перепродала Symantec Enterprise Security компании Accenture.Прибрать к рукам, невзирая на долгиСделку по переходу VMware под крыло Broadcom одобрили члены советов директоров обеих компаний. Часть из $61 млрд Broadcom заплатит деньгами, а оставшуюся долю – акциями, притом приблизительно в равных пропорциях. Акционеры VMware будут иметь возможность получить либо по $142,5 за каждую принадлежащую им акцию, либо по 0,252 акции компании Broadcom.Что немаловажно, Broadcom приобретает VMware вместе со всеми ее долговыми обязательствами. На момент заключения соглашения они составляли в пределах $8 млрд.По планам Broadcom, все условия сделки по покупке VMware и всех ее активов будут выполнены до конца 2023 финансового года. В этой компании он начнется в ноябре 2022 г.Несмотря на то, что переход VMware в собственность Broadcom одобрен советами директоров компаний, все еще существует вероятность срыва сделки. Так, сторонам еще предстоит заручиться поддержкой всех акционеров VMware и получить разрешение регулирующих органов.Если Broadcom удастся получить необходимые разрешения, то по итогам всей сделки ее акционерам будет принадлежать около 88% акций объединенных компаний. Акционеры VMware получат оставшиеся 12%. Первый важный шаг в этом направлении уже сделан – основные акционеры VMware в лице основателя компании Dell Майкла Делла (Michael Dell, 40,2%) и фонда прямых инвестиций Silver Lake (10%) уже высказались в поддержку сделки.VMware появилась на 37 лет позже Broadcom, в феврале 1998 г. Компанию называют «пионером x86-виртуализации», поскольку именно VMware первой смогла коммерциализировать свои разработки в области ПО для виртуализации под архитектуру Intel x86.Свободной компанией VMware была сравнительно недолго, всего шесть лет. В январе 2004 г. она перешла в собственность EMC, ведущего мирового производителем систем хранения данных, который заплатил за нее $625 млн наличными. В августе 2007 г. EMC вывел VMware на IPO, где продал 15% акций компании, сделав ее публичной.В январе 2016 г. VMware вновь сменила владельца. Компанию EMC и все ее активы выкупила Dell, переименовав ее в Dell EMC и заплатив за нее $67 млрд. О намерении сделать это она сообщила в октябре 2015 г.В апреле 2021 г. Dell сделала неожиданный ход, выделив VMware, в которой у нее на тот момент было 81% акций, в полностью самостоятельную компанию. На этой операции Dell заработала около $9 млрд.",1,0,https://securitymedia.org/news/broadcom-pokupaet-vmware.html
"Специалисты ИБ-компании Trend Micro недавно обнаружили вредоносную кампанию, в ходе которой злоумышленники заражают серверы VMware ESXi новым вымогательским ПО для Linux под названием Cheerscrypt.

Скомпрометировав сервер VMware ESXi, вымогатели запускают шифровальщик, автоматически пересчитывающий запущенные виртуальные машины и отключающий их с помощью команды esxcli. Благодаря этому Cheerscrypt может успешно шифровать связанные с VMware файлы, добавляя к ним расширение .Cheers. Однако по какой-то странной причине перед шифрованием вредонос переименовывает файлы, поэтому если разрешение на переименование отсутствует, файл не будет зашифрован.

Вымогатель ищет расширения .log, .vmdk, .vmem, .vswp и .vmsn, относящиеся к файлам подкачки, журналов и страниц, а также к виртуальным дискам. Для каждой зашифрованной директории он добавляет записку с требованием выкупа – файл How to Restore Your Files.txt.

В схеме шифрования используются открытый и закрытый ключ для извлечения секретного ключа (потоковый шифр SOSEMANUK), который затем встраивается в каждый шифруемый файл. Закрытый ключ, использовавшийся для создания секретного ключа, стирается.

Подобно другим известным вымогателям Cheerscrypt придерживается тактики двойного вымогательства – требует выкуп за восстановление зашифрованных файлов, угрожая в противном случае опубликовать похищенные у жертвы данные. В записке с требованием выкупа жертве предоставляется ссылка на сайт в сети Tor, где будут идти переговоры о выкупе. Для каждой жертвы создается уникальный сайт, однако URL сайта утечек, где публикуются данные организаций, отказавшихся платить, один и тот же.

Кампания по распространению Cheerscrypt предположительно началась в марте 2022 года. Хотя исследователи пока обнаружили только вариант вредоноса для Linux, скорее всего, вариант для Windows тоже существует.",1,0,https://securitymedia.org/news/novyy-linux-vymogatel-cheerscrypt-atakuet-servery-vmware-esxi.html
"Группа ученых разработала систему , которую можно использовать на телефоне или ноутбуке для обнаружения скрытых IoT-устройств, подключенных к Wi-Fi. Проект позволяет точно определять скрытые камеры, которые используются для слежки за людьми в гостиничных номерах и арендованных через Airbnb квартирах.

Система Lumos разработана для «визуализации присутствия устройств слежки с помощью интерфейса дополненной реальности», - заявили специалисты из Университета Карнеги-Меллона в своем отчёте.

Система перехватывает и собирает зашифрованные беспроводные сети для обнаружения скрытых устройств. Также Lumos оценивает местоположение каждого устройства относительно пользователя. Модуль локализации объединяет измерения уровня сигнала IEEE 802.11 с положением пользователя, который определяется с помощью визуальной одометрии на телефоне.

«Когда пользователь подходит ближе к устройству, значение RSSI этой точки данных увеличивается, а затем уменьшается по мере отдаления пользователя от устройства. Lumos использует пространственные измерения значений RSSI и их вариаций для оценки местоположения каждого устройства», - заявили исследователи.

В ходе исследования эксперты протестировали 44 IoT-устройства различных типов, моделей и брендов в 6 разных средах и обнаружили, что система может идентифицировать скрытые устройства с точностью 95% и находить их со средней ошибкой 1,5 м в течение 30 минут в 2-комнатной квартире 93 м2.

«Lumos потенциально может определять устройства разных марок и моделей, если на этапе обучения он видел хотя бы одно устройство с похожим поведением», - добавили исследователи, указывая на способность системы идентифицировать даже немаркированные устройства.

Однако, продвинутый злоумышленник может использовать рандомизацию MAC-адреса, чтобы избежать обнаружения и обойти локализацию путем произвольного изменения мощности передачи устройств.",1,0,https://securitymedia.org/news/novaya-sistema-pozvolyaet-obnaruzhit-skrytuyu-kameru-cherez-smartfon.html
